,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-10-10,1.0,36,31,22,9,20,12,8,1,1,2.0,1,0.0,1.0
2014-10-11,0.0,19,15,20,12,21,9,11,0,1,1.0,1,4.0,0.0
2014-10-12,0.0,37,26,22,13,21,12,7,3,2,0.0,2,0.0,0.0
2014-10-13,1.0,36,21,17,13,27,8,10,3,1,0.0,0,0.0,2.0
2014-10-14,0.0,28,27,27,13,18,13,7,3,2,0.0,2,0.0,0.0
2014-10-15,0.0,28,26,10,9,19,11,8,9,3,1.0,1,0.0,1.0
2014-10-16,1.0,25,24,28,8,28,7,10,1,1,0.0,1,2.0,1.0
2014-10-17,1.0,30,24,28,13,18,6,7,7,3,0.0,1,0.0,0.0
2014-10-18,0.0,27,20,21,16,24,11,12,2,0,0.0,0,1.0,0.0
2014-10-19,0.0,30,17,24,8,13,11,3,1,1,0.0,0,0.0,2.0
2014-10-20,1.0,39,20,21,5,16,9,19,1,3,0.0,1,0.0,1.0
2014-10-21,0.0,27,18,19,18,20,8,12,1,0,0.0,0,0.0,0.0
2014-10-22,1.0,34,27,42,8,18,13,8,2,1,1.0,1,0.0,0.0
2014-10-23,0.0,28,27,24,13,19,6,12,4,1,1.0,2,2.0,1.0
2014-10-24,0.0,34,24,20,11,26,15,12,7,0,0.0,0,0.0,1.0
2014-10-25,0.0,28,21,21,12,23,11,5,6,0,1.0,3,2.0,4.0
2014-10-26,2.0,28,28,31,10,17,9,4,0,2,0.0,2,0.0,1.0
2014-10-27,1.0,30,31,27,15,18,3,6,1,1,0.0,1,0.0,0.0
2014-10-28,2.0,42,16,26,13,16,13,12,0,0,1.0,0,0.0,2.0
2014-10-29,0.0,46,30,21,4,20,14,9,2,1,1.0,2,0.0,0.0
2014-10-30,2.0,39,24,22,9,19,13,14,3,4,0.0,1,0.0,0.0
2014-10-31,1.0,32,36,27,9,25,12,6,1,1,1.0,0,0.0,0.0
2014-11-01,2.0,31,22,9,24,18,12,5,1,1,1.0,0,0.0,0.0
2014-11-02,1.0,25,19,20,13,14,14,5,4,0,1.0,1,0.0,0.0
2014-11-03,1.0,28,16,23,12,12,11,7,5,1,1.0,0,0.0,0.0
2014-11-04,1.0,26,16,9,13,14,13,4,1,2,0.0,2,0.0,1.0
2014-11-05,0.0,26,25,24,16,15,8,13,1,1,1.0,2,0.0,1.0
2014-11-06,0.0,23,24,21,12,19,11,7,2,1,0.0,1,1.0,0.0
2014-11-07,0.0,39,25,26,11,16,4,11,1,4,0.0,1,1.0,2.0
2014-11-08,2.0,24,15,11,13,22,11,7,0,0,0.0,4,0.0,0.0
2014-11-09,0.0,24,14,27,9,24,11,8,2,1,1.0,0,4.0,1.0
2014-11-10,1.0,31,29,18,7,14,13,5,1,1,2.0,0,1.0,1.0
